Review;generated_text
I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful.;no
I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be;no
car cost more because I didn't pay when I reserved it;no
I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.;no
If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.;yes
Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.;no
I have had a few issues with rentals recently, with no offer of apology.  Last time, the agent offered me an upgrade coupon but now he told me it is no longer available.;no
Car rental cost was higher because I decided to pay cash;no
I had to pay more because of some hidden fees. It disappointed me.;no
Although there were no available car in category stuff assisted in finding an available vehicle.;yes
They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no
delayed shuttle, almost missed flight, bad customer service;no
I would like them to be more speedy.  Also I would like the rental company to check the car for previous damage while I am standing there.;no
The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell additional insurance coverage which was obnoxious.;no
Was average, nothing out of the ordinary.  Took a long time to get the car.;no
I haven't actually spoken with anyone from a car rental organization for quite a while.  When I did (probably about three years ago), I believe they were polite enough. However, I always hate to wait in lines when we have a lot of luggage.;no
They were too pushy in trying to sell insurance.;no
speed up the rental process!;no
The counter girl seemed confused and she had lost our reservations. They directed us to one car and then came running out to tell us that was the wrong car and to come back to the counter. Getting directions took forever and they weren't accurate.;no
For the most part, they it's been really good service.  I usually rent from the airports because it's much cheaper.  Once they charged me over and I had to hunt down the accounting department to get my money back.  it was a pain.;no
I HATE how they pressure you to buy add-on service.;no
took a long time to check in, and it would have been nice if someone explained how to get the convertible top down.;no
The agents were not friendly when I checked in initially, that was annoying because I had just spent 3 hours on a plane and wanted to be greeted with a better attitude.;no
they were a little slow;no
I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.;no
I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean.;no
The people where generally good, but overworked.  The printer went down.  The poor woman working the register was about to pull her hair out.  Customers were yelling at her, not me, but she was not in charge of the issues.;no
The car I reserved was not ready.;no
Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT helpful. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying.;no
I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.;no
The only complaint I have is getting in fast, and not waiting in long lines. When I pick up a car. Or return it.;no
